keyname,keycount,year,month,day
Space,99,2024,10,04
Tab,9,2024,10,04
Up,360,2024,10,04
WheelDown,6575,2024,10,04
WheelUp,5354,2024,10,04
[,1,2024,10,04
\,19,2024,10,04
],5,2024,10,04
`,8,2024,10,04
a,654,2024,10,04
b,162,2024,10,04
c,250,2024,10,04
d,232,2024,10,04
e,645,2024,10,04
f,79,2024,10,04
g,375,2024,10,04
h,470,2024,10,04
i,905,2024,10,04
j,189,2024,10,04
k,62,2024,10,04
l,192,2024,10,04
m,75,2024,10,04
n,686,2024,10,04
o,473,2024,10,04
p,59,2024,10,04
q,69,2024,10,04
r,75,2024,10,04
s,378,2024,10,04
t,137,2024,10,04
u,552,2024,10,04
v,214,2024,10,04
w,116,2024,10,04
x,150,2024,10,04
y,224,2024,10,04
z,214,2024,10,04
',7,2024,10,05
",",29,2024,10,05
-,23,2024,10,05
.,31,2024,10,05
/,38,2024,10,05
0,28,2024,10,05
1,669,2024,10,05
2,47,2024,10,05
3,22,2024,10,05
4,8,2024,10,05
5,12,2024,10,05
6,2,2024,10,05
7,2,2024,10,05
8,7,2024,10,05
9,5,2024,10,05
;,9,2024,10,05
<#r,4,2024,10,05
<+',6,2024,10,05
<+-,2,2024,10,05
<+.,3,2024,10,05
<+/,20,2024,10,05
<+0,3,2024,10,05
<+3,1,2024,10,05
<+5,2,2024,10,05
<+8,1,2024,10,05
<+9,4,2024,10,05
<+;,6,2024,10,05
<+=,18,2024,10,05
<+Backspace,1,2024,10,05
<+Insert,1,2024,10,05
<+a,1,2024,10,05
<+b,3,2024,10,05
<+c,6,2024,10,05
<+d,3,2024,10,05
<+e,1,2024,10,05
<+f,3,2024,10,05
<+g,9,2024,10,05
<+i,2,2024,10,05
<+l,3,2024,10,05
<+m,10,2024,10,05
<+n,3,2024,10,05
<+o,2,2024,10,05
<+p,6,2024,10,05
<+r,1,2024,10,05
<+s,5,2024,10,05
<+t,3,2024,10,05
<+u,2,2024,10,05
<+v,1,2024,10,05
<+w,3,2024,10,05
<^/,1,2024,10,05
<^a,2,2024,10,05
<^c,22,2024,10,05
<^s,9,2024,10,05
<^v,33,2024,10,05
<^x,6,2024,10,05
<^z,11,2024,10,05
=,21,2024,10,05
Backspace,778,2024,10,05
Delete,1,2024,10,05
Down,480,2024,10,05
Enter,274,2024,10,05
Insert,1,2024,10,05
LButton,5091,2024,10,05
LControl,104,2024,10,05
LShift,172,2024,10,05
LWin,4,2024,10,05
Left,197,2024,10,05
Numlock,11,2024,10,05
NumpadIns,2,2024,10,05
NumpadLeft,2,2024,10,05
RAlt,11,2024,10,05
RButton,82,2024,10,05
RControl,1,2024,10,05
Right,374,2024,10,05
Space,68,2024,10,05
Tab,10,2024,10,05
Up,327,2024,10,05
WheelDown,4412,2024,10,05
WheelUp,2022,2024,10,05
\,3,2024,10,05
a,491,2024,10,05
b,113,2024,10,05
c,97,2024,10,05
d,190,2024,10,05
e,406,2024,10,05
f,63,2024,10,05
g,363,2024,10,05
h,338,2024,10,05
i,753,2024,10,05
j,102,2024,10,05
k,66,2024,10,05
l,108,2024,10,05
m,86,2024,10,05
n,545,2024,10,05
o,271,2024,10,05
p,29,2024,10,05
q,41,2024,10,05
r,61,2024,10,05
s,214,2024,10,05
sc178,1,2024,10,05
t,62,2024,10,05
u,373,2024,10,05
v,39,2024,10,05
w,95,2024,10,05
x,91,2024,10,05
y,159,2024,10,05
z,148,2024,10,05
",",14,2024,10,06
-,2,2024,10,06
.,19,2024,10,06
/,5,2024,10,06
0,24,2024,10,06
1,1102,2024,10,06
2,68,2024,10,06
3,23,2024,10,06
4,20,2024,10,06
5,13,2024,10,06
6,6,2024,10,06
7,9,2024,10,06
8,2,2024,10,06
9,10,2024,10,06
;,2,2024,10,06
<+/,5,2024,10,06
<+0,4,2024,10,06
<+1,3,2024,10,06
<+7,2,2024,10,06
<+9,7,2024,10,06
<+;,1,2024,10,06
<+=,8,2024,10,06
<+Enter,2,2024,10,06
<+Space,830,2024,10,06
<+a,1455,2024,10,06
<+b,1,2024,10,06
<+c,7,2024,10,06
<+d,710,2024,10,06
<+e,13,2024,10,06
<+f,379,2024,10,06
<+i,1,2024,10,06
<+k,1,2024,10,06
<+m,2,2024,10,06
<+o,1,2024,10,06
<+p,5,2024,10,06
<+q,2,2024,10,06
<+r,1,2024,10,06
<+s,51,2024,10,06
<+t,5,2024,10,06
<+v,1,2024,10,06
<+w,1346,2024,10,06
<+x,7,2024,10,06
<^<!NumpadDel,1,2024,10,06
<^<!a,3,2024,10,06
<^a,7,2024,10,06
<^c,76,2024,10,06
<^f,1,2024,10,06
<^s,14,2024,10,06
<^v,137,2024,10,06
<^x,20,2024,10,06
<^z,5,2024,10,06
=,9,2024,10,06
Backspace,670,2024,10,06
CapsLock,10,2024,10,06
Down,125,2024,10,06
Enter,212,2024,10,06
Escape,5,2024,10,06
F22,6,2024,10,06
F7,1,2024,10,06
LAlt,5,2024,10,06
LButton,8239,2024,10,06
LControl,279,2024,10,06
LShift,5240,2024,10,06
LWin,17,2024,10,06
Left,75,2024,10,06
Numlock,3,2024,10,06
Numpad3,1,2024,10,06
NumpadDel,1,2024,10,06
RButton,127,2024,10,06
Right,78,2024,10,06
Space,2669,2024,10,06
Tab,277,2024,10,06
Up,35,2024,10,06
WheelDown,5884,2024,10,06
WheelUp,3531,2024,10,06
\,5,2024,10,06
`,4,2024,10,06
a,5301,2024,10,06
b,79,2024,10,06
c,145,2024,10,06
d,4720,2024,10,06
e,599,2024,10,06
f,1951,2024,10,06
g,222,2024,10,06
h,254,2024,10,06
i,509,2024,10,06
j,99,2024,10,06
k,45,2024,10,06
l,88,2024,10,06
m,66,2024,10,06
n,465,2024,10,06
o,275,2024,10,06
p,32,2024,10,06
q,54,2024,10,06
r,246,2024,10,06
s,1657,2024,10,06
sc000,1,2024,10,06
sc178,2,2024,10,06
t,50,2024,10,06
u,320,2024,10,06
v,155,2024,10,06
w,6020,2024,10,06
x,102,2024,10,06
y,99,2024,10,06
z,99,2024,10,06
',34,2024,10,07
",",136,2024,10,07
-,85,2024,10,07
.,114,2024,10,07
/,57,2024,10,07
0,50,2024,10,07
1,1213,2024,10,07
2,73,2024,10,07
3,32,2024,10,07
4,23,2024,10,07
5,5,2024,10,07
6,7,2024,10,07
7,3,2024,10,07
8,12,2024,10,07
9,52,2024,10,07
;,68,2024,10,07
<#r,2,2024,10,07
<+',21,2024,10,07
"<+,",28,2024,10,07
<+-,65,2024,10,07
<+.,8,2024,10,07
<+/,2,2024,10,07
<+0,32,2024,10,07
<+1,4,2024,10,07
<+2,1,2024,10,07
<+3,6,2024,10,07
<+4,9,2024,10,07
<+5,2,2024,10,07
<+7,2,2024,10,07
<+8,12,2024,10,07
<+9,47,2024,10,07
<+;,33,2024,10,07
<+=,34,2024,10,07
<+Down,51,2024,10,07
<+Enter,6,2024,10,07
<+Left,176,2024,10,07
<+Right,105,2024,10,07
<+Up,8,2024,10,07
<+[,6,2024,10,07
<+],2,2024,10,07
<+`,3,2024,10,07
<+a,21,2024,10,07
<+b,2,2024,10,07
<+c,12,2024,10,07
<+d,5,2024,10,07
<+f,16,2024,10,07
<+g,5,2024,10,07
<+i,6,2024,10,07
<+l,7,2024,10,07
<+m,6,2024,10,07
<+n,7,2024,10,07
<+o,13,2024,10,07
<+p,4,2024,10,07
<+s,27,2024,10,07
<+t,18,2024,10,07
<+w,5,2024,10,07
<+x,1,2024,10,07
<^',1,2024,10,07
<^/,51,2024,10,07
<^3,1,2024,10,07
<^Down,2,2024,10,07
<^Up,2,2024,10,07
<^c,28,2024,10,07
<^f,2,2024,10,07
<^s,62,2024,10,07
<^v,34,2024,10,07
<^x,10,2024,10,07
<^z,15,2024,10,07
=,59,2024,10,07
Backspace,2291,2024,10,07
CapsLock,10,2024,10,07
Down,6313,2024,10,07
Enter,347,2024,10,07
Escape,1,2024,10,07
F11,30,2024,10,07
F22,1,2024,10,07
LButton,1983,2024,10,07
LControl,218,2024,10,07
LShift,960,2024,10,07
LWin,4,2024,10,07
Left,2986,2024,10,07
Numlock,2,2024,10,07
Numpad0,1,2024,10,07
Numpad4,1,2024,10,07
NumpadSub,1,2024,10,07
PgDn,10,2024,10,07
PrintScreen,10,2024,10,07
RButton,57,2024,10,07
RShift,4,2024,10,07
Right,4862,2024,10,07
Space,112,2024,10,07
Tab,18,2024,10,07
Up,5236,2024,10,07
WheelDown,168,2024,10,07
WheelUp,79,2024,10,07
[,27,2024,10,07
\,42,2024,10,07
],3,2024,10,07
`,5,2024,10,07
a,744,2024,10,07
b,147,2024,10,07
c,253,2024,10,07
d,315,2024,10,07
e,664,2024,10,07
f,158,2024,10,07
g,519,2024,10,07
h,476,2024,10,07
i,1212,2024,10,07
j,208,2024,10,07
k,76,2024,10,07
l,240,2024,10,07
m,122,2024,10,07
n,897,2024,10,07
o,553,2024,10,07
p,75,2024,10,07
q,84,2024,10,07
r,174,2024,10,07
s,394,2024,10,07
t,274,2024,10,07
u,725,2024,10,07
v,54,2024,10,07
w,121,2024,10,07
x,257,2024,10,07
y,302,2024,10,07
z,240,2024,10,07
',3,2024,10,08
",",50,2024,10,08
-,12,2024,10,08
.,41,2024,10,08
/,25,2024,10,08
0,43,2024,10,08
1,741,2024,10,08
2,92,2024,10,08
3,47,2024,10,08
4,28,2024,10,08
5,29,2024,10,08
6,17,2024,10,08
7,13,2024,10,08
8,17,2024,10,08
9,20,2024,10,08
;,22,2024,10,08
<#r,1,2024,10,08
<+',1,2024,10,08
"<+,",33,2024,10,08
<+-,8,2024,10,08
<+.,23,2024,10,08
<+/,6,2024,10,08
<+0,4,2024,10,08
<+1,8,2024,10,08
<+2,2,2024,10,08
<+3,2,2024,10,08
<+5,2,2024,10,08
<+9,4,2024,10,08
<+;,14,2024,10,08
<+=,5,2024,10,08
<+Backspace,4,2024,10,08
<+CapsLock,1,2024,10,08
<+Down,3,2024,10,08
<+Enter,2,2024,10,08
<+Left,14,2024,10,08
<+Space,3,2024,10,08
<+Up,30,2024,10,08
<+[,2,2024,10,08
<+a,19,2024,10,08
<+c,12,2024,10,08
<+d,2,2024,10,08
<+e,2,2024,10,08
<+f,19,2024,10,08
<+g,3,2024,10,08
<+i,2,2024,10,08
